,0,1,2,4,8,16
5,1.130,93.086,64.783,70.917,53.957,39.420
100,0.931,88.634,61.888,68.133,55.432,63.269
10000,0.984,80.095,59.950,52.209,55.307,65.026
100000,0.916,4.583,2.145,4.048,4.535,29.989
1000000,0.928,38.866,1.502,2.282,3.427,5.745
10000000,0.977,18.029,1.860,1.895,2.032,3.305
