,0,1,2,3,4,6,8,12,16,24,32,48
1,0.00200,0.00700,0.00800,0.00900,0.00900,0.01200,0.01400,0.01600,0.02000,0.02500,0.03200,0.04700
11,0.00100,0.01000,0.01300,0.01500,0.01700,0.02300,0.02800,0.05600,0.07200,0.12700,0.16200,0.23600
21,0.00200,0.01200,0.01800,0.01900,0.02100,0.02600,0.04300,0.10300,0.14400,0.20900,0.27900,0.44500
31,0.00200,0.01300,0.01700,0.02300,0.02300,0.03300,0.04600,0.15000,0.20300,0.31400,0.41600,0.64300
41,0.00200,0.01400,0.01800,0.02400,0.02600,0.03400,0.05600,0.18200,0.26800,0.39300,0.54500,0.78900
